,overview_matchesplayed,overview_matcheswon,overview_matcheslost,overview_matchesabandoned,overview_timeplayed,overview_kills,overview_deaths,overview_attackerroundswon,overview_attackerteamkillsinobj,overview_attackerenemykillsinobj,overview_attackerteamkillsoutobj,overview_attackerenemykillsoutobj,overview_defenderroundswon,overview_defenderteamkillsinobj,overview_defenderenemykillsinobj,overview_defenderteamkillsoutobj,overview_defenderenemykillsoutobj,overview_headshots,overview_headshotsmissed,overview_headshotpercentage,overview_wallbangs,overview_damagedealt,overview_assists,overview_teamkills,overview_playstyleattackerbreacher,overview_playstyleattackerentryfragger,overview_playstyleattackerintelprovider,overview_playstyleattackerroamclearer,overview_playstyleattackersupporter,overview_playstyleattackerutilityclearer,overview_playstyledefenderdebuffer,overview_playstyledefenderentrydenier,overview_playstyledefenderintelprovider,overview_playstyledefendersupporter,overview_playstyledefendertrapper,overview_playstyledefenderutilitydenier,overview_kdratio,overview_killspermatch,overview_killspermin,overview_winpercentage,overview_timealive,is_cheater
837,122,94,28,0,0,987,446,210,0,0,0,0,208,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.21,8.09,987.0,77.05,0,1
838,79,50,28,1,96706,296,225,94,0,0,0,0,96,0,0,0,0,0,0,0.0,0,0,0,0,46,30,118,46,65,39,60,88,10,12,32,124,1.32,3.75,0.18,63.29,429,1
839,271,148,68,0,0,943,716,322,0,0,0,0,286,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.32,3.48,943.0,54.61,0,1
840,116,87,29,0,0,679,368,197,0,0,0,0,244,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85,5.85,679.0,75.0,0,1
841,258,158,92,0,0,1319,859,341,0,0,0,0,384,0,0,0,0,0,0,0.0,0,0,0,0,30,147,165,30,92,310,198,173,83,188,141,268,1.54,5.11,1319.0,61.24,0,1
842,38,35,3,0,0,440,57,63,0,0,0,0,79,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.72,11.58,440.0,92.11,0,1
843,140,104,34,0,0,1086,320,219,0,0,0,0,211,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.39,7.76,1086.0,74.29,0,1
844,193,145,48,0,0,1244,710,331,0,0,0,0,348,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75,6.45,1244.0,75.13,0,1
845,269,163,93,0,0,1432,980,368,0,0,0,0,393,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46,5.32,1432.0,60.59,0,1
846,516,239,131,0,481492,2537,1613,673,0,0,0,0,742,0,0,0,0,0,0,0.0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,1.57,4.92,0.32,46.32,298,1
847,1699,1061,638,0,0,5786,4505,1059,0,0,0,0,1130,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28,3.41,5786.0,62.45,0,1
848,238,147,88,2,381586,1350,794,438,2,27,8,171,503,2,46,17,221,224,292,43.41,21,69140,71,29,309,383,401,309,171,267,174,145,391,262,166,451,1.7,5.67,0.21,61.76,480,1
849,447,216,231,0,0,1732,1165,287,0,0,0,0,419,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49,3.87,1732.0,48.32,0,1
850,211,66,145,0,295011,262,699,169,0,0,0,0,202,0,0,0,0,0,0,0.0,0,0,0,0,5,12,6,5,1,17,4,20,3,10,9,20,0.37,1.24,0.05,31.28,422,1
851,489,241,240,0,840693,1355,1440,547,0,0,0,0,601,0,0,0,0,0,0,0.0,0,0,0,0,19,32,12,19,16,35,12,26,25,13,8,37,0.94,2.77,0.1,49.28,583,1
